Country Name,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
United States of America,12,0,0,0,0,0
Italy,3,0,0,0,0,0
Germany,14,0,0,0,0,0
Spain,2,1,0,0,0,0
The United Kingdom,4,1,0,0,0,0
France,11,0,0,0,0,0
Belgium,1,0,0,0,0,0
Canada,7,0,0,0,0,0
Sweden,1,0,0,0,0,0
Russian Federation,2,0,0,0,0,0
Australia,15,0,0,0,0,0
India,3,0,0,0,0,0
Japan,26,0,0,0,0,0
Philippines,2,0,0,0,1,0
Republic of Korea,27,0,0,0,0,0
Malaysia,18,1,0,0,0,0
Finland,1,0,0,0,0,0
China,37626,1644,3998,715,1017,108
United Arab Emirates,7,0,0,0,0,0
Thailand,32,0,0,0,0,0
Singapore,43,3,0,0,0,0
Vietnam,14,0,0,0,0,0
Sri Lanka,1,0,0,0,0,0
International conveyance (Diamond Princess),70,6,0,0,0,0
Cambodia,1,0,0,0,0,0
Nepal,1,0,0,0,0,0
