Country Name,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
United States of America,12,0,0,0,0,0
Italy,3,0,0,0,0,0
Germany,14,0,0,0,0,0
Spain,1,0,0,0,0,0
The United Kingdom,3,0,0,0,0,0
France,11,5,0,0,0,0
Belgium,1,0,0,0,0,0
Canada,7,0,0,0,0,0
Sweden,1,0,0,0,0,0
Russian Federation,2,0,0,0,0,0
Australia,15,0,0,0,0,0
India,3,0,0,0,0,0
Japan,26,1,0,0,0,0
Philippines,2,0,0,0,1,0
Republic of Korea,27,3,0,0,0,0
Malaysia,17,2,0,0,0,0
Finland,1,0,0,0,0,0
China,35982,2194,3283,632,909,97
United Arab Emirates,7,0,0,0,0,0
Thailand,32,0,0,0,0,0
Singapore,40,7,0,0,0,0
Vietnam,14,1,0,0,0,0
Sri Lanka,1,0,0,0,0,0
International conveyance (Diamond Princess),64,0,0,0,0,0
Cambodia,1,0,0,0,0,0
Nepal,1,0,0,0,0,0
